IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
62.84.183.222,62.84.183.222,8443,1.71,FR,FRA,153.92,168.94
147.90.26.76,23.168.88.168,443,1.7,FR,CDG,161.18,155.62
51.178.141.36,51.178.141.36,8443,1.7,FR,CDG,150.85,166.26
147.90.26.48,23.168.88.108,443,1.69,FR,CDG,147.21,164.38
51.91.253.62,51.91.253.62,8443,1.68,FR,CDG,152.71,167.41
51.91.249.37,51.91.249.37,443,1.68,FR,CDG,159.62,177.25
51.91.255.23,51.91.255.23,443,1.67,FR,CDG,151.13,196.79
51.91.254.57,51.91.254.57,443,1.67,FR,CDG,150.26,167.6
51.91.249.29,51.91.249.29,443,1.67,FR,CDG,150.9,166.3
129.151.245.96,129.151.245.96,443,1.66,FR,MRS,179.73,160.42
51.91.253.113,51.91.253.113,443,1.66,FR,CDG,151.73,185.33
152.228.217.69,152.228.217.69,8443,1.66,FR,CDG,158.77,174.64
185.234.100.40,185.234.100.40,443,1.65,FR,CDG,153.62,153.8
88.218.79.114,88.218.79.114,443,1.65,FR,FRA,166.63,193.08
51.91.249.126,51.91.249.126,443,1.64,FR,CDG,154.19,170.92
51.91.251.16,51.91.251.16,8443,1.64,FR,CDG,148.86,164.22
51.91.254.173,51.91.254.173,8443,1.63,FR,CDG,156.32,181.63
51.91.254.158,51.91.254.158,8443,1.62,FR,CDG,163.02,168.29
62.84.183.222,62.84.183.222,443,1.62,FR,FRA,161.13,165.32
51.91.249.22,51.91.249.22,443,1.61,FR,CDG,156.19,169.62
147.90.26.87,23.168.88.25,443,1.6,FR,CDG,147.78,159.68
147.90.26.10,23.168.88.33,443,1.6,FR,CDG,146.58,165.25
51.91.249.9,51.91.249.9,8443,1.6,FR,CDG,150.81,164.31
51.91.253.211,51.91.253.211,8443,1.59,FR,CDG,172.38,172.38
37.60.229.47,37.60.229.47,443,1.59,FR,FRA,155.54,167.43
51.91.251.144,51.91.251.144,443,1.59,FR,CDG,156.48,169.43
147.90.26.56,23.168.88.201,443,1.59,FR,CDG,151.56,159.89
51.91.254.97,51.91.254.97,8443,1.58,FR,CDG,149.32,163.6
94.183.188.150,94.183.188.150,443,1.58,FR,CDG,146.35,162.37
51.91.250.218,51.91.250.218,443,1.57,FR,CDG,156.66,175.47
147.90.26.72,23.168.88.112,443,1.55,FR,CDG,152.88,158.84
51.91.253.174,51.91.253.174,443,1.55,FR,CDG,158.56,175.74
51.91.255.163,51.91.255.163,8443,1.54,FR,CDG,164.64,188.85
147.90.26.53,23.168.88.2,443,1.54,FR,CDG,147.16,156.57
37.59.97.133,37.59.97.133,443,1.53,FR,CDG,159.82,176.8
51.178.141.36,51.178.141.36,443,1.53,FR,CDG,160.04,173.79
51.91.255.163,51.91.255.163,443,1.51,FR,CDG,158.36,177.35
51.91.253.113,51.91.253.113,8443,1.51,FR,CDG,164.59,190.88
94.183.187.37,94.183.187.37,443,1.51,FR,CDG,154.66,183.96
37.59.96.48,37.59.96.48,8443,1.5,FR,CDG,162.49,171.89
51.91.252.200,51.91.252.200,443,1.5,FR,CDG,158.63,185.53
51.91.250.218,51.91.250.218,8443,1.5,FR,CDG,156.36,168.42
51.178.137.248,51.178.137.248,443,1.5,FR,CDG,163.69,176.34
152.228.134.239,152.228.134.239,8443,1.48,FR,FRA,167.03,170.65
51.91.248.157,51.91.248.157,8443,1.48,FR,CDG,156.81,175.6
51.91.252.191,51.91.252.191,8443,1.48,FR,CDG,162.58,202.18
51.91.251.87,51.91.251.87,8443,1.46,FR,CDG,159.67,171.05
51.91.255.197,51.91.255.197,8443,1.45,FR,CDG,152.86,171.09
51.91.254.153,51.91.254.153,443,1.45,FR,CDG,159.65,168.75
51.91.251.149,51.91.251.149,8443,1.45,FR,CDG,161.8,177.13
37.59.96.50,37.59.96.50,443,1.45,FR,CDG,159.25,171.4
37.59.97.139,37.59.97.139,8443,1.43,FR,CDG,159.37,178.13
51.91.248.157,51.91.248.157,443,1.43,FR,CDG,152.92,168.13
5.189.161.87,5.189.161.87,443,1.43,FR,FRA,153.99,280.69
51.91.252.191,51.91.252.191,443,1.43,FR,CDG,162.08,200.38
51.91.253.230,51.91.253.230,443,1.42,FR,CDG,156.91,183.48
37.59.97.139,37.59.97.139,443,1.4,FR,CDG,157.63,170.82
51.91.253.83,51.91.253.83,443,1.4,FR,CDG,155.78,187.28
51.91.252.44,51.91.252.44,443,1.4,FR,CDG,159.04,169.63
51.91.252.174,51.91.252.174,8443,1.4,FR,CDG,157.41,180.33
51.91.254.97,51.91.254.97,443,1.4,FR,CDG,151.0,165.73
51.91.255.197,51.91.255.197,443,1.39,FR,CDG,152.91,170.34
51.91.251.43,51.91.251.43,443,1.38,FR,CDG,157.53,176.62
51.91.252.44,51.91.252.44,8443,1.37,FR,CDG,160.36,165.53
152.228.134.60,152.228.134.60,8443,1.35,FR,FRA,164.43,185.16
51.91.253.245,51.91.253.245,443,1.34,FR,CDG,159.07,179.0
37.59.96.25,37.59.96.25,8443,1.32,FR,CDG,156.89,160.69
51.91.249.115,51.91.249.115,8443,1.32,FR,CDG,157.74,170.39
88.218.78.48,88.218.78.48,443,1.32,FR,FRA,169.21,196.1
51.91.251.149,51.91.251.149,443,1.31,FR,CDG,155.84,171.0
37.59.97.133,37.59.97.133,8443,1.31,FR,CDG,156.86,171.83
51.91.254.153,51.91.254.153,8443,1.29,FR,CDG,152.44,165.91
51.91.249.223,51.91.249.223,443,1.29,FR,CDG,154.03,167.91
147.90.26.32,23.168.88.15,443,1.28,FR,CDG,160.75,165.94
51.91.251.189,51.91.251.189,443,1.28,FR,CDG,154.35,170.24
51.91.253.211,51.91.253.211,443,1.28,FR,CDG,156.88,172.95
152.228.134.60,152.228.134.60,443,1.28,FR,FRA,167.07,180.88
51.91.254.57,51.91.254.57,8443,1.25,FR,CDG,152.4,166.99
152.228.216.146,152.228.216.146,443,1.25,FR,CDG,177.33,167.64
51.91.158.180,51.91.158.180,443,1.25,FR,FRA,164.77,181.07
147.90.14.132,147.90.14.132,443,1.22,FR,CDG,164.35,188.56
37.59.96.21,37.59.96.21,443,1.21,FR,CDG,154.88,174.1
51.77.141.212,51.77.141.212,8443,1.21,FR,FRA,165.74,182.25
51.77.141.212,51.77.141.212,443,1.19,FR,FRA,163.96,176.25
37.59.96.50,37.59.96.50,8443,1.17,FR,CDG,153.49,169.33
51.38.44.17,51.38.44.17,443,1.16,FR,CDG,160.53,176.57
51.77.140.254,51.77.140.254,443,1.16,FR,FRA,175.13,181.05
51.91.249.22,51.91.249.22,8443,1.11,FR,CDG,157.67,171.2
51.77.140.254,51.77.140.254,8443,1.11,FR,FRA,159.62,183.2
51.91.253.245,51.91.253.245,8443,1.09,FR,CDG,164.76,181.65
51.178.162.166,51.178.162.166,443,1.09,FR,CDG,160.27,173.58
51.91.255.23,51.91.255.23,8443,1.08,FR,CDG,161.11,186.82
31.56.48.199,31.56.48.199,443,1.04,FR,CDG,157.72,166.38
152.228.134.239,152.228.134.239,443,1.04,FR,FRA,181.85,170.86
37.59.96.23,37.59.96.23,8443,1.03,FR,CDG,157.14,172.85
35.176.187.206,35.176.187.206,443,4.23,GB,LHR,151.43,197.03
91.227.62.165,69.42.213.171,443,4.04,GB,LHR,144.58,152.61
91.227.62.50,69.42.213.50,443,3.78,GB,LHR,158.41,212.63
57.128.183.40,57.128.183.40,8443,3.57,GB,LHR,145.67,151.49
57.129.137.79,57.129.137.79,8443,3.52,GB,LHR,147.16,153.77
57.129.137.244,57.129.137.244,443,3.47,GB,LHR,163.85,188.6
185.212.62.204,185.212.62.204,443,3.42,GB,LHR,146.26,162.28
78.129.253.115,78.129.253.115,443,3.4,GB,LHR,147.38,197.71
57.128.178.196,57.128.178.196,443,3.34,GB,LHR,145.98,187.63
57.129.137.234,57.129.137.234,8443,3.33,GB,LHR,164.59,189.08
57.129.137.244,57.129.137.244,8443,3.32,GB,LHR,154.17,171.93
57.129.137.228,57.129.137.228,443,3.31,GB,LHR,153.5,184.5
57.128.177.176,57.128.177.176,443,3.29,GB,LHR,146.98,171.18
141.147.114.60,141.147.114.60,443,3.27,GB,LHR,160.9,172.26
57.129.137.228,57.129.137.228,8443,3.27,GB,LHR,168.32,209.19
57.128.176.90,57.128.176.90,443,3.25,GB,LHR,144.78,153.36
2.56.179.89,2.56.179.89,443,3.24,GB,LHR,155.82,196.84
57.129.137.82,57.129.137.82,443,3.2,GB,LHR,161.06,174.06
57.129.137.82,57.129.137.82,8443,3.19,GB,LHR,165.51,180.97
57.129.137.220,57.129.137.220,443,3.17,GB,LHR,147.32,157.84
57.129.137.80,57.129.137.80,8443,3.14,GB,LHR,159.79,180.99
109.169.76.23,109.169.76.23,443,3.13,GB,LHR,149.61,163.72
57.128.183.225,57.128.183.225,8443,3.11,GB,LHR,149.57,156.33
57.128.177.176,57.128.177.176,8443,3.1,GB,LHR,148.93,160.87
57.128.183.107,57.128.183.107,8443,3.09,GB,LHR,151.57,197.74
57.128.176.90,57.128.176.90,8443,3.02,GB,LHR,152.24,161.84
57.128.182.52,57.128.182.52,8443,2.99,GB,LHR,149.78,161.11
57.129.137.234,57.129.137.234,443,2.99,GB,LHR,162.2,179.79
57.129.137.67,57.129.137.67,8443,2.96,GB,LHR,149.28,157.82
57.128.183.138,57.128.183.138,8443,2.96,GB,LHR,147.81,163.61
57.128.181.88,57.128.181.88,8443,2.95,GB,LHR,163.54,194.15
103.13.208.242,103.13.208.242,443,2.95,GB,LHR,166.63,217.78
37.157.242.193,37.157.242.6,443,2.94,GB,LHR,142.56,155.64
57.128.179.9,57.128.179.9,443,2.93,GB,LHR,148.56,167.61
57.129.137.236,57.129.137.236,8443,2.93,GB,LHR,216.95,221.35
57.128.179.189,57.128.179.189,8443,2.92,GB,LHR,170.3,203.43
57.129.137.67,57.129.137.67,443,2.89,GB,LHR,150.22,159.13
185.66.164.51,185.66.164.4,443,2.89,GB,LHR,156.42,203.11
57.128.179.189,57.128.179.189,443,2.88,GB,LHR,150.91,208.62
57.129.137.224,57.129.137.224,443,2.87,GB,LHR,147.41,182.49
57.129.137.202,57.129.137.202,443,2.87,GB,LHR,165.8,165.08
57.129.137.197,57.129.137.197,8443,2.87,GB,LHR,149.46,160.34
57.129.137.85,57.129.137.85,443,2.86,GB,LHR,169.6,175.28
57.128.178.232,57.128.178.232,8443,2.85,GB,LHR,151.24,157.43
57.129.137.66,57.129.137.66,8443,2.83,GB,LHR,147.75,160.65
57.129.137.50,57.129.137.50,8443,2.83,GB,LHR,148.54,159.67
57.129.137.66,57.129.137.66,443,2.82,GB,LHR,148.33,157.49
57.129.137.95,57.129.137.95,8443,2.82,GB,LHR,161.22,180.68
57.129.137.202,57.129.137.202,8443,2.8,GB,LHR,169.29,186.2
57.128.177.185,57.128.177.185,443,2.79,GB,LHR,146.65,160.7
57.128.183.107,57.128.183.107,443,2.78,GB,LHR,154.21,183.67
57.129.137.233,57.129.137.233,8443,2.78,GB,LHR,144.7,152.5
57.128.179.254,57.128.179.254,443,2.78,GB,LHR,154.54,180.07
57.129.137.53,57.129.137.53,8443,2.77,GB,LHR,147.16,155.4
87.117.247.27,87.117.247.27,443,2.77,GB,LHR,148.31,157.37
57.128.180.133,57.128.180.133,8443,2.76,GB,LHR,148.67,158.21
194.147.16.51,194.147.16.51,443,2.76,GB,AMS,141.13,158.73
57.129.137.61,57.129.137.61,8443,2.75,GB,LHR,177.42,186.15
57.128.178.232,57.128.178.232,443,2.75,GB,LHR,154.63,196.91
57.129.137.51,57.129.137.51,443,2.75,GB,LHR,149.64,156.96
57.128.182.234,57.128.182.234,443,2.72,GB,LHR,157.24,170.4
57.128.181.89,57.128.181.89,443,2.71,GB,LHR,160.84,190.1
57.129.137.69,57.129.137.69,443,2.71,GB,LHR,168.65,193.62
57.128.177.203,57.128.177.203,443,2.71,GB,LHR,149.35,155.86
57.128.176.87,57.128.176.87,8443,2.7,GB,LHR,148.19,157.21
57.128.177.185,57.128.177.185,8443,2.7,GB,LHR,154.29,166.28
57.129.137.95,57.129.137.95,443,2.69,GB,LHR,156.68,189.35
57.128.181.18,57.128.181.18,8443,2.68,GB,LHR,148.23,155.27
57.128.179.254,57.128.179.254,8443,2.68,GB,LHR,148.79,196.07
129.151.74.25,129.151.74.25,443,2.65,GB,LHR,150.53,180.87
57.128.178.164,57.128.178.164,443,2.65,GB,LHR,145.97,156.28
57.129.137.50,57.129.137.50,443,2.64,GB,LHR,150.55,155.73
57.129.137.61,57.129.137.61,443,2.63,GB,LHR,152.0,181.09
57.129.137.69,57.129.137.69,8443,2.63,GB,LHR,157.79,202.1
57.129.137.56,57.129.137.56,443,2.62,GB,LHR,155.3,165.31
57.129.137.96,57.129.137.96,443,2.61,GB,LHR,152.71,162.08
57.129.137.57,57.129.137.57,8443,2.61,GB,LHR,153.9,190.7
57.128.181.18,57.128.181.18,443,2.59,GB,LHR,148.81,156.81
57.129.137.236,57.129.137.236,443,2.59,GB,LHR,171.31,191.58
57.129.137.197,57.129.137.197,443,2.59,GB,LHR,148.29,156.93
57.129.137.207,57.129.137.207,8443,2.58,GB,LHR,147.68,180.32
57.128.178.42,57.128.178.42,443,2.56,GB,LHR,147.05,160.23
57.128.183.248,57.128.183.248,8443,2.56,GB,LHR,153.56,209.43
57.129.137.205,57.129.137.205,443,2.56,GB,LHR,155.62,171.23
146.19.230.133,146.19.230.133,443,2.55,GB,LHR,147.59,167.53
57.129.137.57,57.129.137.57,443,2.53,GB,LHR,167.78,203.3
57.129.137.224,57.129.137.224,8443,2.52,GB,LHR,147.39,208.91
57.128.178.196,57.128.178.196,8443,2.51,GB,LHR,155.23,164.65
57.129.137.242,57.129.137.242,8443,2.5,GB,LHR,155.83,200.91
57.129.137.80,57.129.137.80,443,2.49,GB,LHR,158.59,160.55
57.129.137.65,57.129.137.65,8443,2.48,GB,LHR,148.46,154.87
57.129.137.78,57.129.137.78,443,2.48,GB,LHR,148.93,157.55
57.128.179.9,57.128.179.9,8443,2.47,GB,LHR,151.89,169.9
57.129.137.63,57.129.137.63,443,2.46,GB,LHR,154.17,192.76
57.128.183.82,57.128.183.82,443,2.45,GB,LHR,193.73,218.43
57.129.137.216,57.129.137.216,443,2.44,GB,LHR,152.15,159.98
68.168.31.169,68.168.31.164,443,2.43,GB,LHR,143.94,190.47
57.128.183.248,57.128.183.248,443,2.42,GB,LHR,167.72,171.73
57.129.137.230,57.129.137.230,443,2.42,GB,LHR,144.85,156.37
57.129.137.242,57.129.137.242,443,2.4,GB,LHR,172.27,212.54
57.128.181.89,57.128.181.89,8443,2.36,GB,LHR,152.86,159.59
159.65.19.63,159.65.19.63,443,2.36,GB,LHR,146.16,174.01
57.129.137.62,57.129.137.62,8443,2.35,GB,LHR,151.05,165.13
57.128.181.219,57.128.181.219,8443,2.34,GB,LHR,150.09,157.98
57.128.183.40,57.128.183.40,443,2.33,GB,LHR,147.83,155.03
45.89.111.20,45.89.111.20,443,2.32,GB,LHR,149.79,170.08
57.128.176.37,57.128.176.37,8443,2.32,GB,LHR,140.92,149.05
57.129.137.79,57.129.137.79,443,2.31,GB,LHR,149.15,155.96
57.129.137.53,57.129.137.53,443,2.31,GB,LHR,148.06,156.55
57.129.137.207,57.129.137.207,443,2.31,GB,LHR,152.54,168.3
57.128.178.164,57.128.178.164,8443,2.29,GB,LHR,149.99,159.05
57.129.137.89,57.129.137.89,8443,2.29,GB,LHR,152.01,176.84
57.128.182.76,57.128.182.76,443,2.27,GB,LHR,146.49,151.06
57.128.182.52,57.128.182.52,443,2.27,GB,LHR,148.63,170.2
57.129.137.63,57.129.137.63,8443,2.27,GB,LHR,165.45,176.44
194.147.35.63,194.147.35.63,443,2.26,GB,LHR,148.59,178.89
57.128.178.42,57.128.178.42,8443,2.24,GB,LHR,147.61,155.43
57.129.137.240,57.129.137.240,8443,2.24,GB,LHR,146.0,152.44
57.129.137.85,57.129.137.85,8443,2.23,GB,LHR,164.0,214.46
57.129.137.62,57.129.137.62,443,2.23,GB,LHR,147.44,160.34
57.128.176.147,57.128.176.147,443,2.21,GB,LHR,151.26,161.47
57.129.137.230,57.129.137.230,8443,2.2,GB,LHR,149.73,160.22
57.129.137.231,57.129.137.231,8443,2.19,GB,LHR,148.1,155.76
57.128.183.6,57.128.183.6,443,2.18,GB,LHR,151.58,169.06
57.128.179.45,57.128.179.45,443,2.17,GB,LHR,157.57,166.37
217.154.53.220,217.154.53.220,443,2.16,GB,LHR,171.19,173.23
57.128.176.87,57.128.176.87,443,2.16,GB,LHR,145.96,153.12
57.128.177.22,57.128.177.22,443,2.16,GB,LHR,148.39,162.6
57.129.137.229,57.129.137.229,443,2.16,GB,LHR,154.37,153.51
57.128.177.203,57.128.177.203,8443,2.16,GB,LHR,150.45,154.38
57.128.182.234,57.128.182.234,8443,2.15,GB,LHR,150.47,176.39
57.129.137.77,57.129.137.77,8443,2.15,GB,LHR,149.16,159.29
57.128.176.82,57.128.176.82,443,2.15,GB,LHR,147.77,155.1
57.128.181.88,57.128.181.88,443,2.14,GB,LHR,184.17,213.18
217.154.53.220,217.154.53.220,8443,2.13,GB,LHR,165.96,214.6
57.129.137.198,57.129.137.198,443,2.13,GB,LHR,149.21,160.27
57.128.183.77,57.128.183.77,443,2.12,GB,LHR,153.6,161.23
57.129.137.221,57.129.137.221,443,2.12,GB,LHR,153.05,163.09
57.129.137.220,57.129.137.220,8443,2.11,GB,LHR,150.58,156.89
57.128.178.63,57.128.178.63,8443,2.11,GB,LHR,147.79,165.85
57.128.183.142,57.128.183.142,443,2.11,GB,LHR,150.39,158.14
57.129.137.51,57.129.137.51,8443,2.11,GB,LHR,149.87,180.53
45.140.167.43,45.140.167.43,443,2.09,GB,LHR,150.05,172.22
57.128.177.191,57.128.177.191,8443,2.09,GB,LHR,148.64,148.87
57.129.137.89,57.129.137.89,443,2.09,GB,LHR,152.01,160.21
57.129.137.231,57.129.137.231,443,2.09,GB,LHR,155.25,163.01
57.129.137.227,57.129.137.227,8443,2.08,GB,LHR,148.4,156.82
57.129.137.218,57.129.137.218,443,2.06,GB,LHR,150.34,153.84
57.128.176.82,57.128.176.82,8443,2.06,GB,LHR,148.1,154.46
57.128.176.149,57.128.176.149,443,2.05,GB,LHR,146.59,157.02
57.129.137.56,57.129.137.56,8443,2.05,GB,LHR,148.84,158.47
57.128.179.45,57.128.179.45,8443,2.05,GB,LHR,149.74,167.87
57.129.137.205,57.129.137.205,8443,2.05,GB,LHR,149.72,168.18
57.128.176.37,57.128.176.37,443,2.03,GB,LHR,144.47,152.17
57.128.183.79,57.128.183.79,8443,2.03,GB,LHR,151.18,165.18
57.128.179.111,57.128.179.111,443,2.02,GB,LHR,149.66,154.56
57.128.183.77,57.128.183.77,8443,2.02,GB,LHR,145.67,154.17
57.128.181.125,57.128.181.125,443,2.01,GB,LHR,152.93,169.24
57.129.137.206,57.129.137.206,8443,2.0,GB,LHR,144.81,151.27
57.128.183.108,57.128.183.108,443,2.0,GB,LHR,145.85,162.06
57.128.180.133,57.128.180.133,443,1.99,GB,LHR,150.52,156.96
77.91.101.14,77.91.101.14,443,1.99,GB,LHR,154.79,168.37
57.129.137.217,57.129.137.217,8443,1.98,GB,LHR,150.96,159.65
57.128.177.22,57.128.177.22,8443,1.98,GB,LHR,149.23,162.98
57.129.137.199,57.129.137.199,8443,1.96,GB,LHR,145.79,161.75
78.129.165.129,84.22.164.30,443,1.95,GB,LHR,146.66,158.78
57.128.181.125,57.128.181.125,8443,1.95,GB,LHR,146.25,179.17
57.129.137.221,57.129.137.221,8443,1.95,GB,LHR,147.38,156.34
188.166.144.219,188.166.144.219,443,1.94,GB,LHR,148.26,157.85
57.128.181.14,57.128.181.14,443,1.93,GB,LHR,153.18,169.52
57.129.137.243,57.129.137.243,8443,1.93,GB,LHR,154.55,190.95
57.129.137.199,57.129.137.199,443,1.93,GB,LHR,149.21,158.46
57.129.137.73,57.129.137.73,443,1.92,GB,LHR,148.52,155.43
57.128.183.79,57.128.183.79,443,1.91,GB,LHR,150.66,153.43
57.129.137.86,57.129.137.86,443,1.91,GB,LHR,153.57,163.44
57.128.182.21,57.128.182.21,443,1.9,GB,LHR,153.83,164.24
57.128.177.198,57.128.177.198,443,1.9,GB,LHR,149.72,154.3
57.128.179.111,57.128.179.111,8443,1.89,GB,LHR,154.2,155.88
57.129.137.217,57.129.137.217,443,1.89,GB,LHR,147.74,155.91
57.128.178.63,57.128.178.63,443,1.89,GB,LHR,141.79,158.64
57.128.183.3,57.128.183.3,443,1.89,GB,LHR,155.34,176.2
57.129.137.216,57.129.137.216,8443,1.89,GB,LHR,146.39,157.49
57.128.181.14,57.128.181.14,8443,1.88,GB,LHR,153.51,163.54
57.128.183.225,57.128.183.225,443,1.88,GB,LHR,151.94,158.62
57.129.137.209,57.129.137.209,443,1.88,GB,LHR,153.88,161.71
57.129.137.93,57.129.137.93,8443,1.87,GB,LHR,150.58,153.95
57.129.137.198,57.129.137.198,8443,1.87,GB,LHR,151.45,161.82
57.129.137.200,57.129.137.200,8443,1.86,GB,LHR,165.07,152.52
57.129.137.232,57.129.137.232,8443,1.86,GB,LHR,153.33,154.15
57.129.137.83,57.129.137.83,8443,1.86,GB,LHR,146.88,158.62
57.129.137.49,57.129.137.49,8443,1.86,GB,LHR,151.87,158.6
57.128.183.82,57.128.183.82,8443,1.86,GB,LHR,189.12,197.28
57.128.183.35,57.128.183.35,8443,1.86,GB,LHR,154.88,158.59
57.128.183.59,57.128.183.59,443,1.85,GB,LHR,154.77,166.28
57.129.137.233,57.129.137.233,443,1.85,GB,LHR,149.2,151.15
57.129.137.229,57.129.137.229,8443,1.85,GB,LHR,148.13,156.44
57.128.181.221,57.128.181.221,443,1.85,GB,LHR,151.12,154.52
57.128.181.221,57.128.181.221,8443,1.85,GB,LHR,148.25,150.82
57.129.137.240,57.129.137.240,443,1.85,GB,LHR,148.65,152.26
34.39.62.53,34.39.62.53,443,1.84,GB,LHR,142.3,149.37
57.128.183.138,57.128.183.138,443,1.84,GB,LHR,149.24,163.67
91.132.95.212,91.132.95.212,443,1.83,GB,LHR,145.4,159.72
57.129.137.52,57.129.137.52,443,1.83,GB,LHR,152.67,160.62
91.149.202.142,91.149.202.142,443,1.83,GB,LHR,143.67,154.14
57.129.137.96,57.129.137.96,8443,1.82,GB,LHR,149.07,157.42
57.128.183.214,57.128.183.214,443,1.82,GB,LHR,148.34,157.0
57.128.183.196,57.128.183.196,443,1.82,GB,LHR,147.61,157.43
57.128.176.147,57.128.176.147,8443,1.82,GB,LHR,148.47,155.36
57.129.137.225,57.129.137.225,443,1.81,GB,LHR,148.09,154.72
18.170.77.148,18.170.77.148,443,1.81,GB,LHR,144.78,153.75
57.129.137.209,57.129.137.209,8443,1.81,GB,LHR,147.16,159.78
57.129.137.208,57.129.137.208,443,1.8,GB,LHR,148.05,154.76
57.128.176.149,57.128.176.149,8443,1.8,GB,LHR,151.45,159.65
57.129.137.52,57.129.137.52,8443,1.79,GB,LHR,148.03,157.03
57.128.177.191,57.128.177.191,443,1.78,GB,LHR,163.25,154.82
57.129.137.208,57.129.137.208,8443,1.78,GB,LHR,147.19,156.3
57.129.137.206,57.129.137.206,443,1.77,GB,LHR,148.28,153.54
57.129.137.78,57.129.137.78,8443,1.77,GB,LHR,147.58,161.04
57.129.137.237,57.129.137.237,443,1.76,GB,LHR,155.85,157.15
57.129.137.71,57.129.137.71,8443,1.74,GB,LHR,148.44,156.21
178.62.27.74,178.62.27.74,443,1.74,GB,LHR,142.52,156.9
57.128.181.26,57.128.181.26,8443,1.73,GB,LHR,152.82,153.99
57.129.137.49,57.129.137.49,443,1.73,GB,LHR,152.96,170.43
57.129.137.218,57.129.137.218,8443,1.72,GB,LHR,153.63,161.73
57.129.137.65,57.129.137.65,443,1.71,GB,LHR,153.71,162.4
57.129.137.213,57.129.137.213,443,1.71,GB,LHR,151.24,157.2
57.128.178.122,57.128.178.122,443,1.71,GB,LHR,155.62,155.88
57.129.137.70,57.129.137.70,8443,1.7,GB,LHR,160.58,160.96
57.128.183.6,57.128.183.6,8443,1.69,GB,LHR,146.68,172.9
91.149.238.31,91.149.238.31,443,1.69,GB,LHR,150.13,153.97
57.128.183.142,57.128.183.142,8443,1.69,GB,LHR,146.57,159.92
57.128.180.59,57.128.180.59,8443,1.69,GB,LHR,151.96,157.9
57.129.137.60,57.129.137.60,443,1.68,GB,LHR,144.73,166.58
57.128.177.198,57.128.177.198,8443,1.68,GB,LHR,150.37,156.85
57.129.137.58,57.129.137.58,8443,1.68,GB,LHR,147.24,154.23
57.128.183.90,57.128.183.90,443,1.67,GB,LHR,152.64,161.9
57.128.178.79,57.128.178.79,8443,1.67,GB,LHR,147.97,157.56
57.128.181.91,57.128.181.91,8443,1.67,GB,LHR,154.71,155.24
57.128.178.122,57.128.178.122,8443,1.67,GB,LHR,146.24,153.9
57.129.137.238,57.129.137.238,8443,1.66,GB,LHR,153.34,157.72
57.129.137.94,57.129.137.94,8443,1.66,GB,LHR,152.57,166.45
57.129.137.87,57.129.137.87,443,1.66,GB,LHR,152.05,153.9
57.129.137.232,57.129.137.232,443,1.65,GB,LHR,156.39,161.01
57.128.181.91,57.128.181.91,443,1.65,GB,LHR,156.21,158.81
18.130.235.174,18.130.235.174,443,1.65,GB,LHR,144.51,155.31
57.128.183.108,57.128.183.108,8443,1.65,GB,LHR,155.04,160.41
57.128.177.206,57.128.177.206,8443,1.64,GB,LHR,152.43,159.85
57.129.137.214,57.129.137.214,8443,1.64,GB,LHR,149.22,155.89
57.128.183.196,57.128.183.196,8443,1.64,GB,LHR,152.86,162.22
57.129.137.227,57.129.137.227,443,1.62,GB,LHR,149.48,156.45
57.128.183.133,57.128.183.133,443,1.62,GB,LHR,147.45,165.26
57.128.183.59,57.128.183.59,8443,1.62,GB,LHR,146.06,152.48
57.128.183.35,57.128.183.35,443,1.62,GB,LHR,148.76,156.76
57.128.183.133,57.128.183.133,8443,1.61,GB,LHR,149.93,161.25
57.129.137.77,57.129.137.77,443,1.61,GB,LHR,154.17,170.05
87.106.65.110,87.106.65.110,443,1.61,GB,LHR,163.54,177.98
57.129.137.223,57.129.137.223,8443,1.6,GB,LHR,149.35,155.82
57.129.137.203,57.129.137.203,443,1.6,GB,LHR,147.23,157.2
57.128.181.82,57.128.181.82,443,1.6,GB,LHR,151.53,159.05
57.129.137.225,57.129.137.225,8443,1.59,GB,LHR,153.61,160.48
57.128.181.82,57.128.181.82,8443,1.59,GB,LHR,156.12,159.05
57.128.181.24,57.128.181.24,8443,1.58,GB,LHR,147.74,176.56
91.228.10.248,91.228.10.248,443,1.58,GB,LHR,148.91,168.57
18.134.196.127,18.134.196.127,443,1.57,GB,LHR,148.39,147.11
57.128.183.245,57.128.183.245,8443,1.57,GB,LHR,155.34,161.99
57.129.137.210,57.129.137.210,8443,1.57,GB,LHR,153.81,163.42
57.129.137.235,57.129.137.235,8443,1.57,GB,LHR,148.76,156.64
57.129.137.86,57.129.137.86,8443,1.57,GB,LHR,157.11,165.8
57.129.137.83,57.129.137.83,443,1.56,GB,LHR,153.87,167.36
57.129.137.235,57.129.137.235,443,1.56,GB,LHR,155.07,160.32
57.128.180.59,57.128.180.59,443,1.56,GB,LHR,156.31,160.43
57.128.180.98,57.128.180.98,8443,1.55,GB,LHR,154.3,163.48
57.128.180.80,57.128.180.80,8443,1.54,GB,LHR,153.31,161.8
57.129.137.212,57.129.137.212,443,1.54,GB,LHR,151.06,160.68
57.129.137.213,57.129.137.213,8443,1.54,GB,LHR,154.74,154.59
57.128.179.10,57.128.179.10,443,1.53,GB,LHR,152.68,158.81
57.129.137.93,57.129.137.93,443,1.53,GB,LHR,163.41,168.4
