IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
46.4.230.8,46.4.230.8,443,2.25,DE,FRA,164.32,179.4
85.208.139.48,85.208.139.48,443,2.24,DE,FRA,156.99,171.45
193.26.159.9,193.26.159.9,8443,2.23,DE,HAM,156.32,201.57
88.198.82.156,178.63.88.12,443,2.23,DE,FRA,164.1,185.41
18.197.218.69,18.197.218.69,443,2.22,DE,FRA,153.0,160.36
91.107.155.13,91.107.155.13,8443,2.22,DE,FRA,167.13,171.19
193.26.157.139,193.26.157.139,443,2.21,DE,FRA,162.24,191.95
193.26.156.79,193.26.156.79,8443,2.2,DE,HAM,166.93,251.05
84.75.76.126,84.75.76.126,443,2.19,DE,FRA,158.06,166.97
18.199.97.136,18.199.97.136,443,2.19,DE,FRA,157.14,169.97
195.133.94.9,195.133.94.9,443,2.19,DE,FRA,162.69,171.09
91.132.160.255,91.132.160.255,443,2.19,DE,FRA,171.67,168.0
37.221.198.204,37.221.198.204,8443,2.19,DE,FRA,172.71,204.94
45.43.88.232,45.43.88.232,443,2.18,DE,FRA,157.47,169.93
194.87.55.75,194.87.55.75,443,2.17,DE,FRA,156.18,161.12
49.12.237.71,49.12.237.71,443,2.17,DE,FRA,162.46,196.87
87.251.88.57,87.251.88.57,443,2.16,DE,FRA,165.26,177.16
188.34.205.158,188.34.205.158,443,2.16,DE,FRA,168.92,181.2
51.38.98.202,51.38.98.202,443,2.15,DE,FRA,160.79,172.4
152.53.15.120,152.53.15.120,443,2.15,DE,FRA,162.99,184.15
109.120.177.229,109.120.177.229,443,2.14,DE,FRA,173.22,204.73
193.26.157.75,193.26.157.75,443,2.14,DE,HAM,156.32,214.31
91.107.250.153,91.107.250.153,443,2.14,DE,FRA,162.51,176.54
2.26.54.18,2.26.54.18,443,2.13,DE,DUS,163.25,181.93
152.53.15.96,152.53.15.96,443,2.13,DE,FRA,165.57,179.31
91.107.251.113,91.107.251.113,8443,2.13,DE,FRA,185.1,303.79
185.246.222.239,185.246.222.239,443,2.13,DE,FRA,174.8,212.39
152.53.15.143,152.53.15.143,443,2.12,DE,FRA,160.39,178.22
57.129.47.52,57.129.47.52,443,2.12,DE,FRA,168.18,186.63
47.245.131.215,47.245.131.215,443,2.12,DE,FRA,158.42,166.47
89.58.34.62,89.58.34.62,8443,2.11,DE,FRA,172.02,184.29
89.58.28.62,89.58.28.62,8443,2.1,DE,FRA,173.89,208.01
188.245.161.141,2a01:4f8:c17:1e71::1,443,2.09,DE,FRA,168.8,175.43
77.90.45.78,77.90.45.78,443,2.09,DE,FRA,155.75,162.42
64.188.68.11,2a12:bec4:1bb0:bbe::2,443,2.08,DE,FRA,180.94,193.59
37.120.188.105,37.120.188.105,8443,2.08,DE,FRA,187.57,190.73
57.129.47.52,57.129.47.52,8443,2.08,DE,FRA,169.16,178.49
178.20.209.70,2a0b:4140:b19e::2,443,2.08,DE,FRA,168.12,176.22
91.107.250.153,91.107.250.153,8443,2.08,DE,FRA,162.38,174.65
152.53.137.142,152.53.137.142,8443,2.08,DE,FRA,174.36,221.68
91.107.148.154,91.107.148.154,443,2.07,DE,FRA,169.65,182.15
185.242.113.75,185.242.113.75,443,2.07,DE,FRA,157.94,171.66
185.100.159.170,185.100.159.170,443,2.07,DE,FRA,153.25,162.16
37.120.191.25,37.120.191.25,443,2.07,DE,FRA,168.72,191.64
92.118.9.85,92.118.9.85,443,2.07,DE,FRA,154.82,172.72
91.107.171.251,2a01:4f8:1c17:c311::1,443,2.07,DE,FRA,163.96,177.2
161.35.21.230,161.35.21.230,443,2.06,DE,FRA,164.36,169.91
92.51.37.214,92.51.37.214,443,2.06,DE,AMS,155.47,372.05
37.120.188.105,37.120.188.105,443,2.06,DE,FRA,178.43,202.73
152.53.118.28,152.53.118.28,8443,2.06,DE,FRA,173.65,188.23
130.61.48.18,130.61.48.18,443,2.06,DE,FRA,154.8,176.14
91.107.148.154,91.107.148.154,8443,2.05,DE,FRA,171.48,188.87
92.118.8.248,92.118.8.248,443,2.03,DE,FRA,156.42,164.38
37.120.191.200,37.120.191.200,8443,2.03,DE,FRA,196.58,270.8
5.75.182.89,5.75.182.89,443,2.01,DE,FRA,159.1,177.96
78.47.146.151,78.47.146.151,443,2.01,DE,FRA,159.91,174.89
152.53.226.65,152.53.226.65,443,2.0,DE,FRA,170.55,189.98
156.226.174.20,156.226.174.20,443,2.0,DE,FRA,152.52,190.19
194.34.238.131,194.34.238.131,443,1.99,DE,FRA,152.94,164.16
163.5.187.49,163.5.187.49,2053,1.99,DE,FRA,163.16,195.2
152.53.12.245,152.53.12.245,443,1.98,DE,FRA,159.92,179.13
195.133.65.83,195.133.65.83,443,1.97,DE,FRA,169.36,221.62
37.120.191.25,37.120.191.25,8443,1.95,DE,FRA,170.92,196.7
159.195.20.60,159.195.20.60,8443,1.95,DE,FRA,174.61,195.08
162.221.196.42,162.221.196.42,443,1.95,DE,FRA,150.65,155.74
89.40.117.143,89.40.117.143,443,1.95,DE,FRA,166.75,174.25
45.9.116.160,45.9.116.160,443,1.93,DE,FRA,148.5,159.66
91.217.149.34,91.217.149.34,443,1.93,DE,FRA,152.71,161.62
150.241.123.99,150.241.123.99,443,1.92,DE,FRA,170.43,175.74
37.120.191.140,37.120.191.140,443,1.92,DE,FRA,165.25,178.41
89.58.34.62,89.58.34.62,443,1.91,DE,FRA,170.55,202.52
37.1.194.138,37.1.194.138,443,1.9,DE,FRA,160.25,175.46
135.125.191.9,135.125.191.9,8443,1.9,DE,FRA,163.3,169.3
94.159.98.113,94.159.98.113,443,1.88,DE,FRA,163.07,150.6
167.71.45.93,167.71.45.93,443,1.88,DE,FRA,156.4,160.93
152.53.15.120,152.53.15.120,8443,1.88,DE,FRA,154.81,171.28
152.53.146.92,152.53.146.92,8443,1.87,DE,FRA,223.1,217.11
152.53.146.253,152.53.146.253,443,1.86,DE,FRA,174.37,195.25
91.107.251.113,91.107.251.113,443,1.86,DE,FRA,173.26,211.64
152.53.146.92,152.53.146.92,443,1.86,DE,FRA,201.72,196.99
159.195.20.60,159.195.20.60,443,1.85,DE,FRA,176.28,199.73
37.120.191.200,37.120.191.200,443,1.85,DE,FRA,194.44,224.51
116.203.252.143,2a01:4f8:c012:c3ee::1,443,1.85,DE,FRA,162.29,176.0
193.26.158.223,193.26.158.223,443,1.84,DE,HAM,160.63,198.15
163.5.187.118,163.5.187.118,2053,1.84,DE,FRA,167.31,201.58
185.189.58.206,185.189.58.206,443,1.83,DE,FRA,157.64,167.78
66.151.40.32,66.151.40.32,443,1.82,DE,FRA,156.69,171.91
152.53.226.65,152.53.226.65,8443,1.81,DE,FRA,169.5,189.22
157.245.21.166,64.226.111.107,443,1.81,DE,FRA,162.65,180.2
95.164.123.31,95.164.123.31,443,1.81,DE,FRA,157.55,163.39
185.246.223.134,185.246.223.134,443,1.81,DE,FRA,163.83,179.37
152.53.14.244,152.53.14.244,443,1.81,DE,FRA,175.09,201.3
165.227.173.197,165.227.173.197,443,1.81,DE,FRA,163.5,169.11
193.26.156.79,193.26.156.79,443,1.8,DE,FRA,166.86,265.88
104.128.139.68,104.128.139.68,443,1.8,DE,FRA,151.19,159.16
83.219.249.208,83.219.249.208,443,1.79,DE,FRA,174.64,226.81
37.120.191.140,37.120.191.140,8443,1.79,DE,FRA,170.09,181.89
132.226.197.103,132.226.197.103,443,1.78,DE,FRA,156.38,176.04
89.58.28.105,89.58.28.105,443,1.78,DE,FRA,168.56,182.22
152.53.14.185,152.53.14.185,443,1.78,DE,FRA,161.55,175.11
193.26.157.139,193.26.157.139,8443,1.77,DE,FRA,166.47,189.58
152.53.138.238,152.53.138.238,443,1.77,DE,FRA,173.54,196.2
152.53.138.238,152.53.138.238,8443,1.77,DE,FRA,172.4,192.51
37.221.198.204,37.221.198.204,443,1.77,DE,FRA,174.76,200.33
152.53.247.161,152.53.247.161,443,1.76,DE,FRA,175.72,182.26
152.53.14.169,152.53.14.169,443,1.76,DE,FRA,153.18,171.4
37.46.18.19,37.46.18.19,443,1.76,DE,FRA,187.71,264.6
152.53.117.32,152.53.117.32,8443,1.76,DE,FRA,180.6,232.13
213.108.198.116,213.108.198.116,443,1.75,DE,FRA,154.99,163.5
77.239.99.29,77.239.99.29,443,1.74,DE,FRA,163.39,174.18
152.53.14.185,152.53.14.185,8443,1.73,DE,FRA,160.9,174.98
89.58.28.105,89.58.28.105,8443,1.73,DE,FRA,173.91,188.68
172.86.95.236,172.86.95.236,443,1.73,DE,FRA,166.04,178.02
88.198.82.158,178.63.88.12,443,1.73,DE,FRA,161.0,180.93
89.58.28.62,89.58.28.62,443,1.72,DE,FRA,174.98,201.63
193.26.158.212,193.26.158.212,8443,1.72,DE,HAM,156.46,185.6
152.53.137.35,152.53.137.35,443,1.71,DE,FRA,167.46,196.26
89.34.219.214,89.34.219.214,443,1.71,DE,FRA,161.93,180.69
83.219.249.108,83.219.249.108,8443,1.7,DE,FRA,167.4,174.0
135.125.191.9,135.125.191.9,443,1.7,DE,FRA,162.15,170.5
185.66.165.51,185.66.165.4,443,1.69,DE,ARN,157.03,224.63
31.192.237.42,31.192.237.42,443,1.68,DE,FRA,161.07,205.2
178.17.48.78,178.17.48.78,443,1.68,DE,FRA,170.21,182.71
89.58.32.86,89.58.32.86,8443,1.68,DE,FRA,171.31,196.76
89.58.12.232,89.58.12.232,443,1.66,DE,FRA,167.27,180.74
109.172.94.240,109.172.94.240,443,1.66,DE,FRA,165.05,177.55
91.107.158.77,91.107.158.77,443,1.65,DE,FRA,163.59,180.5
152.53.12.245,152.53.12.245,8443,1.65,DE,FRA,160.63,189.31
152.53.224.62,152.53.224.62,8443,1.65,DE,FRA,183.98,201.04
95.181.162.170,95.181.162.170,443,1.65,DE,FRA,172.25,203.38
152.53.136.14,152.53.136.14,8443,1.65,DE,FRA,171.94,188.75
79.137.196.3,79.137.196.3,443,1.65,DE,FRA,176.45,200.48
193.26.158.223,193.26.158.223,8443,1.64,DE,HAM,155.89,217.29
64.188.66.138,64.188.66.138,2053,1.64,DE,FRA,162.32,184.14
159.69.92.30,2a01:4f8:c2c:6bdd::1,443,1.63,DE,FRA,157.31,172.97
5.187.7.220,5.187.7.220,443,1.63,DE,FRA,153.54,183.28
91.107.152.178,91.107.152.178,443,1.61,DE,FRA,159.07,204.38
206.251.50.222,206.251.50.222,443,1.61,DE,FRA,160.71,172.45
152.53.138.139,152.53.138.139,8443,1.61,DE,FRA,176.01,203.6
94.159.106.11,94.159.106.11,443,1.6,DE,FRA,149.34,159.64
213.21.250.126,213.21.250.126,443,1.6,DE,MXP,194.78,314.73
152.53.227.239,152.53.227.239,443,1.59,DE,FRA,185.33,182.86
94.125.101.103,94.125.101.103,443,1.59,DE,FRA,166.5,181.32
37.120.191.199,37.120.191.199,443,1.57,DE,FRA,171.56,177.92
89.58.45.162,89.58.45.162,443,1.57,DE,FRA,170.79,184.99
152.53.118.28,152.53.118.28,443,1.57,DE,FRA,173.03,186.32
92.246.136.38,2a0b:4140:4cc8::2,443,1.56,DE,FRA,163.34,177.54
64.188.66.138,64.188.66.138,443,1.56,DE,FRA,162.04,185.41
140.235.130.57,140.235.130.57,443,1.56,DE,FRA,165.02,172.2
152.53.14.60,152.53.14.60,443,1.55,DE,FRA,166.41,199.98
77.110.118.50,77.110.118.50,443,1.55,DE,FRA,170.78,203.19
92.42.96.240,92.42.96.240,443,1.55,DE,FRA,170.93,174.38
91.186.212.249,91.186.212.249,443,1.55,DE,MXP,202.79,336.17
88.198.82.150,178.63.88.12,443,1.54,DE,FRA,164.46,187.3
37.120.191.199,37.120.191.199,8443,1.54,DE,FRA,171.82,174.33
142.132.138.95,142.132.138.95,443,1.54,DE,FRA,164.73,180.68
192.248.183.18,192.248.183.18,443,1.54,DE,FRA,151.58,158.88
152.53.137.145,152.53.137.145,443,1.53,DE,FRA,173.65,188.21
45.134.217.55,45.134.217.55,443,1.53,DE,FRA,161.33,168.51
152.53.225.188,152.53.225.188,443,1.53,DE,FRA,174.28,181.64
47.245.131.215,47.245.131.215,2053,1.53,DE,FRA,160.98,167.75
45.95.235.210,45.95.235.210,443,1.52,DE,AMS,184.92,360.17
213.21.246.96,213.21.246.96,443,1.52,DE,MXP,191.57,288.22
152.53.225.145,152.53.225.145,443,1.52,DE,FRA,180.38,194.07
72.56.106.103,72.56.106.103,443,1.52,DE,AMS,199.56,378.65
147.45.222.87,147.45.222.87,443,1.51,DE,FRA,164.61,174.78
193.26.159.9,193.26.159.9,443,1.51,DE,FRA,167.56,181.38
78.40.216.169,78.40.216.169,443,1.51,DE,AMS,162.51,341.35
88.198.82.154,178.63.88.12,443,1.51,DE,FRA,164.4,199.6
45.135.165.245,45.135.165.245,443,1.51,DE,FRA,164.28,172.86
178.250.191.208,178.250.191.208,443,1.51,DE,FRA,167.16,177.13
164.90.226.9,164.90.226.9,443,1.5,DE,FRA,152.69,160.5
88.198.82.145,178.63.88.12,443,1.5,DE,FRA,158.76,177.25
